Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
threaded,strong,2,104857600,262144,194.427,53232.4
threaded,strong,2,104857600,262144,186.388,53698.5
threaded,strong,2,104857600,262144,299.657,53870.2
threaded,strong,2,104857600,262144,317.013,53877.9
--- testing with increased problem size
threaded,strong,2,67108864,262144,201.474,34310.8
threaded,strong,2,67108864,262144,198.202,34436.8
threaded,strong,2,67108864,262144,279.874,34467.7
threaded,strong,2,67108864,262144,289.984,34467.4
threaded,weak,2,134217728,262144,199.476,68502.9
threaded,weak,2,134217728,262144,305.822,68797.4
threaded,weak,2,134217728,262144,291.074,68985.7
streamed,weak,2,134217728,262144,7.04934,69269.2
streamed,weak,2,134217728,262144,27.1865,69602.6
streamed,weak,2,134217728,262144,28.9996,69829.5
threaded,strong,2,67108864,262144,187.628,34384.7
threaded,strong,2,67108864,262144,285.323,34438.1
threaded,strong,2,67108864,262144,293.033,34429.7
streamed,strong,2,67108864,262144,6.18165,34800
streamed,strong,2,67108864,262144,27.6172,34834.7
streamed,strong,2,67108864,262144,28.2881,34846.3
streamed,strong,2,67108864,262144,28.5374,34274.4
streamed,strong,2,1048576,262144,27.4188,552.665
streamed,strong,2,1048576,262144,27.86,558.206
streamed,strong,2,1048576,262144,27.7974,530.655
streamed,strong,2,1048576,262144,28.193,540.459
streamed,strong,2,1048576,262144,28.064,530.793
streamed,strong,2,1048576,262144,27.6459,553.868
streamed,strong,2,1048576,262144,27.2218,529.747
streamed,strong,2,1048576,262144,27.0954,529.664
threaded,weak,2,2097152,262144,199.7,1076.73
threaded,weak,2,2097152,262144,257.933,1050.96
streamed,weak,2,2097152,262144,5.91023,1063.64
streamed,weak,2,2097152,262144,26.9789,1066.91
threaded,strong,2,1048576,262144,207.91,526.494
threaded,strong,2,1048576,262144,283.724,525.196
streamed,strong,2,1048576,262144,5.87342,532.877
streamed,strong,2,1048576,262144,27.2672,532.61
threaded,weak,2,134217728,262144,211.663,68432.1
threaded,weak,2,134217728,262144,265.536,68869.9
streamed,weak,2,134217728,262144,5.83628,69648.1
streamed,weak,2,134217728,262144,27.2182,69778.1
threaded,strong,2,67108864,262144,188.031,34427.7
threaded,strong,2,67108864,262144,264.999,34424.8
streamed,strong,2,67108864,262144,6.24243,34734.2
streamed,strong,2,67108864,262144,27.2556,34748.4
threaded,weak,2,134217728,262144,190.261,68769.1
threaded,weak,2,134217728,262144,296.618,68993.6
threaded,weak,2,134217728,262144,188.417,68787.4
threaded,weak,2,134217728,262144,265.501,68855.6
streamed,weak,2,134217728,262144,7.34332,69430.9
streamed,weak,2,134217728,262144,28.124,69698.3
threaded,strong,2,67108864,262144,186.553,34382.4
threaded,strong,2,67108864,262144,266.392,34403.3
streamed,strong,2,67108864,262144,6.28514,34770.3
streamed,strong,2,67108864,262144,27.1323,34891.8
threaded,weak,2,134217728,262144,190.397,68541.1
threaded,weak,2,134217728,262144,266.126,68847.4
